id,detected_object,timestamp,weather,temperature_celsius,holiday,location
1,plastic,2025-01-01 10:09:32,stormy,3,1,development
2,paper,2025-01-01 08:43:02,stormy,3,1,development
3,plastic,2025-01-01 05:45:48,stormy,3,1,development
4,paper,2025-01-01 01:33:23,stormy,3,1,development
5,plastic,2025-01-01 00:57:22,stormy,3,1,development
6,organic,2025-01-01 21:11:03,stormy,3,1,development
7,organic,2025-01-01 01:14:02,stormy,3,1,development
8,metal,2025-01-02 11:50:06,sunny,3,0,development
9,organic,2025-01-02 01:58:55,sunny,3,0,development
10,plastic,2025-01-02 12:40:45,sunny,3,0,development
11,organic,2025-01-02 19:13:10,sunny,3,0,development
12,paper,2025-01-02 10:56:55,sunny,3,0,development
13,plastic,2025-01-02 15:08:16,sunny,3,0,development
14,plastic,2025-01-02 09:11:35,sunny,3,0,development
15,glass,2025-01-02 18:53:15,sunny,3,0,development
16,organic,2025-01-02 00:52:09,sunny,3,0,development
17,plastic,2025-01-02 06:38:08,sunny,3,0,development
18,plastic,2025-01-02 03:19:09,sunny,3,0,development
19,plastic,2025-01-02 06:16:44,sunny,3,0,development
20,plastic,2025-01-02 21:44:38,sunny,3,0,development
21,plastic,2025-01-02 19:50:24,sunny,3,0,development
22,plastic,2025-01-02 06:16:46,sunny,3,0,development
23,paper,2025-01-02 19:27:12,sunny,3,0,development
24,paper,2025-01-02 09:23:41,sunny,3,0,development
25,plastic,2025-01-02 09:44:43,sunny,3,0,development
26,plastic,2025-01-02 09:11:41,sunny,3,0,development
27,plastic,2025-01-03 21:06:33,cloudy,1,0,development
28,plastic,2025-01-03 23:37:15,cloudy,1,0,development
29,plastic,2025-01-03 07:37:28,cloudy,1,0,development
30,organic,2025-01-03 19:41:29,cloudy,1,0,development
31,plastic,2025-01-03 05:56:00,cloudy,1,0,development
32,plastic,2025-01-03 14:10:21,cloudy,1,0,development
33,metal,2025-01-03 20:18:46,cloudy,1,0,development
34,paper,2025-01-03 19:55:24,cloudy,1,0,development
35,plastic,2025-01-03 17:19:20,cloudy,1,0,development
36,organic,2025-01-03 00:48:11,cloudy,1,0,development
37,paper,2025-01-03 19:28:41,cloudy,1,0,development
38,plastic,2025-01-03 22:28:29,cloudy,1,0,development
39,organic,2025-01-03 00:45:55,cloudy,1,0,development
40,paper,2025-01-03 21:40:04,cloudy,1,0,development
41,glass,2025-01-03 10:02:52,cloudy,1,0,development
42,organic,2025-01-03 20:24:49,cloudy,1,0,development
43,paper,2025-01-04 07:40:30,cloudy,4,0,development
44,metal,2025-01-04 20:12:31,cloudy,4,0,development
45,plastic,2025-01-04 20:30:18,cloudy,4,0,development
46,plastic,2025-01-04 04:14:08,cloudy,4,0,development
47,paper,2025-01-04 05:59:03,cloudy,4,0,development
48,plastic,2025-01-04 04:54:23,cloudy,4,0,development
49,paper,2025-01-04 20:43:39,cloudy,4,0,development
50,paper,2025-01-04 20:48:58,cloudy,4,0,development
51,organic,2025-01-04 02:32:37,cloudy,4,0,development
52,metal,2025-01-04 04:14:29,cloudy,4,0,development
53,metal,2025-01-04 13:46:44,cloudy,4,0,development
54,paper,2025-01-04 21:31:17,cloudy,4,0,development
55,metal,2025-01-04 09:27:22,cloudy,4,0,development
56,plastic,2025-01-04 07:29:32,cloudy,4,0,development
