id,detected_object,timestamp,weather,temperature_celsius,holiday,location
1,plastic,2025-01-01 03:22:21,rainy,2,1,suburbs
2,paper,2025-01-01 05:13:39,rainy,2,1,suburbs
3,plastic,2025-01-01 05:31:15,rainy,2,1,suburbs
4,metal,2025-01-01 12:00:01,rainy,2,1,suburbs
5,paper,2025-01-01 23:54:54,rainy,2,1,suburbs
6,glass,2025-01-01 04:59:45,rainy,2,1,suburbs
7,paper,2025-01-01 19:31:47,rainy,2,1,suburbs
8,plastic,2025-01-02 08:47:51,cloudy,0,0,suburbs
9,plastic,2025-01-02 22:27:05,cloudy,0,0,suburbs
10,organic,2025-01-02 21:30:12,cloudy,0,0,suburbs
11,paper,2025-01-02 18:54:58,cloudy,0,0,suburbs
12,organic,2025-01-02 21:29:28,cloudy,0,0,suburbs
13,metal,2025-01-02 13:15:19,cloudy,0,0,suburbs
14,paper,2025-01-02 23:27:21,cloudy,0,0,suburbs
15,organic,2025-01-02 07:44:04,cloudy,0,0,suburbs
16,plastic,2025-01-03 02:58:38,snowy,-1,0,suburbs
17,metal,2025-01-04 12:02:20,cloudy,3,0,suburbs
18,paper,2025-01-04 06:05:06,cloudy,3,0,suburbs
19,plastic,2025-01-04 05:03:24,cloudy,3,0,suburbs
20,paper,2025-01-04 19:00:23,cloudy,3,0,suburbs
21,organic,2025-01-04 05:57:51,cloudy,3,0,suburbs
22,organic,2025-01-04 22:08:24,cloudy,3,0,suburbs
23,plastic,2025-01-04 01:23:00,cloudy,3,0,suburbs
24,plastic,2025-01-04 10:15:06,cloudy,3,0,suburbs
25,plastic,2025-01-04 04:40:37,cloudy,3,0,suburbs
26,paper,2025-01-04 16:35:10,cloudy,3,0,suburbs
27,paper,2025-01-05 22:42:28,stormy,2,0,suburbs
28,metal,2025-01-05 12:09:41,stormy,2,0,suburbs
29,organic,2025-01-05 20:25:31,stormy,2,0,suburbs
30,organic,2025-01-06 19:17:08,sunny,3,0,suburbs
31,glass,2025-01-06 18:06:41,sunny,3,0,suburbs
32,paper,2025-01-06 01:50:48,sunny,3,0,suburbs
33,plastic,2025-01-06 16:50:42,sunny,3,0,suburbs
34,paper,2025-01-06 02:32:13,sunny,3,0,suburbs
35,glass,2025-01-06 03:05:10,sunny,3,0,suburbs
36,organic,2025-01-06 11:43:11,sunny,3,0,suburbs
37,organic,2025-01-06 09:36:52,sunny,3,0,suburbs
38,plastic,2025-01-06 07:32:56,sunny,3,0,suburbs
39,plastic,2025-01-06 21:55:26,sunny,3,0,suburbs
40,plastic,2025-01-06 22:55:37,sunny,3,0,suburbs
41,paper,2025-01-06 05:31:06,sunny,3,0,suburbs
42,organic,2025-01-07 12:43:28,rainy,7,0,suburbs
43,organic,2025-01-07 09:50:40,rainy,7,0,suburbs
44,paper,2025-01-07 01:30:09,rainy,7,0,suburbs
45,paper,2025-01-07 16:35:33,rainy,7,0,suburbs
46,plastic,2025-01-07 06:03:56,rainy,7,0,suburbs
47,plastic,2025-01-07 15:28:22,rainy,7,0,suburbs
48,plastic,2025-01-08 13:16:52,cloudy,3,0,suburbs
49,paper,2025-01-08 18:28:47,cloudy,3,0,suburbs
50,organic,2025-01-08 00:51:38,cloudy,3,0,suburbs
51,plastic,2025-01-08 07:11:04,cloudy,3,0,suburbs
52,plastic,2025-01-08 23:14:16,cloudy,3,0,suburbs
53,plastic,2025-01-08 17:19:11,cloudy,3,0,suburbs
54,plastic,2025-01-08 15:44:54,cloudy,3,0,suburbs
55,plastic,2025-01-08 04:42:42,cloudy,3,0,suburbs
56,plastic,2025-01-09 02:45:39,misty,5,0,suburbs
57,organic,2025-01-09 03:07:28,misty,5,0,suburbs
