detected_object,timestamp,weather,temperature_celsius,holiday,location
plastic,2025-01-01 10:09:32,stormy,3,1,development
paper,2025-01-01 8:43:02,stormy,3,1,development
plastic,2025-01-01 5:45:48,stormy,3,1,development
paper,2025-01-01 1:33:23,stormy,3,1,development
plastic,2025-01-01 0:57:22,stormy,3,1,development
organic,2025-01-01 21:11:03,stormy,3,1,development
organic,2025-01-01 1:14:02,stormy,3,1,development
metal,2025-01-02 11:50:06,sunny,3,0,development
organic,2025-01-02 1:58:55,sunny,3,0,development
plastic,2025-01-02 12:40:45,sunny,3,0,development
organic,2025-01-02 19:13:10,sunny,3,0,development
paper,2025-01-02 10:56:55,sunny,3,0,development
plastic,2025-01-02 15:08:16,sunny,3,0,development
plastic,2025-01-02 9:11:35,sunny,3,0,development
glass,2025-01-02 18:53:15,sunny,3,0,development
organic,2025-01-02 0:52:09,sunny,3,0,development
plastic,2025-01-02 6:38:08,sunny,3,0,development
plastic,2025-01-02 3:19:09,sunny,3,0,development
plastic,2025-01-02 6:16:44,sunny,3,0,development
plastic,2025-01-02 21:44:38,sunny,3,0,development
plastic,2025-01-02 19:50:24,sunny,3,0,development
plastic,2025-01-02 6:16:46,sunny,3,0,development
paper,2025-01-02 19:27:12,sunny,3,0,development
paper,2025-01-02 9:23:41,sunny,3,0,development
plastic,2025-01-02 9:44:43,sunny,3,0,development
plastic,2025-01-02 9:11:41,sunny,3,0,development
plastic,2025-01-03 21:06:33,cloudy,1,0,development
plastic,2025-01-03 23:37:15,cloudy,1,0,development
plastic,2025-01-03 7:37:28,cloudy,1,0,development
organic,2025-01-03 19:41:29,cloudy,1,0,development
plastic,2025-01-03 5:56:00,cloudy,1,0,development
plastic,2025-01-03 14:10:21,cloudy,1,0,development
metal,2025-01-03 20:18:46,cloudy,1,0,development
paper,2025-01-03 19:55:24,cloudy,1,0,development
plastic,2025-01-03 17:19:20,cloudy,1,0,development
organic,2025-01-03 0:48:11,cloudy,1,0,development
paper,2025-01-03 19:28:41,cloudy,1,0,development
plastic,2025-01-03 22:28:29,cloudy,1,0,development
organic,2025-01-03 0:45:55,cloudy,1,0,development
paper,2025-01-03 21:40:04,cloudy,1,0,development
glass,2025-01-03 10:02:52,cloudy,1,0,development
organic,2025-01-03 20:24:49,cloudy,1,0,development
paper,2025-01-04 7:40:30,cloudy,4,0,development
metal,2025-01-04 20:12:31,cloudy,4,0,development
plastic,2025-01-04 20:30:18,cloudy,4,0,development
plastic,2025-01-04 4:14:08,cloudy,4,0,development
paper,2025-01-04 5:59:03,cloudy,4,0,development
plastic,2025-01-04 4:54:23,cloudy,4,0,development
paper,2025-01-04 20:43:39,cloudy,4,0,development
paper,2025-01-04 20:48:58,cloudy,4,0,development
organic,2025-01-04 2:32:37,cloudy,4,0,development
metal,2025-01-04 4:14:29,cloudy,4,0,development
metal,2025-01-04 13:46:44,cloudy,4,0,development
paper,2025-01-04 21:31:17,cloudy,4,0,development
metal,2025-01-04 9:27:22,cloudy,4,0,development
plastic,2025-01-04 7:29:32,cloudy,4,0,development
paper,2025-01-04 4:45:35,cloudy,4,0,development
plastic,2025-01-04 3:14:51,cloudy,4,0,development
paper,2025-01-04 23:07:34,cloudy,4,0,development
organic,2025-01-04 18:43:51,cloudy,4,0,development
plastic,2025-01-04 18:35:43,cloudy,4,0,development
paper,2025-01-04 21:55:49,cloudy,4,0,development
plastic,2025-01-04 9:44:04,cloudy,4,0,development
metal,2025-01-05 18:39:35,cloudy,0,0,development
metal,2025-01-05 6:54:35,cloudy,0,0,development
glass,2025-01-05 22:27:19,cloudy,0,0,development
paper,2025-01-05 18:17:05,cloudy,0,0,development
glass,2025-01-05 21:39:55,cloudy,0,0,development
paper,2025-01-05 16:18:41,cloudy,0,0,development
plastic,2025-01-05 21:23:36,cloudy,0,0,development
plastic,2025-01-05 1:08:22,cloudy,0,0,development
paper,2025-01-05 6:48:46,cloudy,0,0,development
plastic,2025-01-05 9:52:54,cloudy,0,0,development
glass,2025-01-05 12:11:37,cloudy,0,0,development
metal,2025-01-05 7:31:37,cloudy,0,0,development
paper,2025-01-05 23:41:00,cloudy,0,0,development
plastic,2025-01-05 11:01:07,cloudy,0,0,development
organic,2025-01-05 12:42:50,cloudy,0,0,development
plastic,2025-01-05 5:01:26,cloudy,0,0,development
organic,2025-01-05 4:27:50,cloudy,0,0,development
plastic,2025-01-05 0:36:47,cloudy,0,0,development
paper,2025-01-05 12:13:07,cloudy,0,0,development
glass,2025-01-05 15:13:55,cloudy,0,0,development
paper,2025-01-05 9:01:18,cloudy,0,0,development
paper,2025-01-06 1:01:22,cloudy,2,0,development
glass,2025-01-06 0:33:29,cloudy,2,0,development
glass,2025-01-06 3:57:11,cloudy,2,0,development
plastic,2025-01-06 5:50:04,cloudy,2,0,development
organic,2025-01-06 4:29:14,cloudy,2,0,development
paper,2025-01-06 16:53:23,cloudy,2,0,development
plastic,2025-01-06 9:52:22,cloudy,2,0,development
paper,2025-01-06 21:37:51,cloudy,2,0,development
organic,2025-01-06 8:51:35,cloudy,2,0,development
metal,2025-01-06 2:30:13,cloudy,2,0,development
organic,2025-01-06 4:26:40,cloudy,2,0,development
paper,2025-01-06 5:21:30,cloudy,2,0,development
paper,2025-01-06 18:16:46,cloudy,2,0,development
plastic,2025-01-06 0:20:28,cloudy,2,0,development
paper,2025-01-06 17:14:38,cloudy,2,0,development
plastic,2025-01-06 15:12:35,cloudy,2,0,development
plastic,2025-01-07 20:36:02,cloudy,2,0,development
plastic,2025-01-07 13:50:11,cloudy,2,0,development
plastic,2025-01-07 10:07:10,cloudy,2,0,development
metal,2025-01-07 23:09:23,cloudy,2,0,development
paper,2025-01-07 0:56:04,cloudy,2,0,development
plastic,2025-01-07 10:19:31,cloudy,2,0,development
organic,2025-01-07 5:58:30,cloudy,2,0,development
plastic,2025-01-07 4:57:51,cloudy,2,0,development
plastic,2025-01-07 7:03:41,cloudy,2,0,development
plastic,2025-01-07 5:22:47,cloudy,2,0,development
paper,2025-01-07 9:43:06,cloudy,2,0,development
glass,2025-01-07 16:12:05,cloudy,2,0,development
glass,2025-01-07 15:48:12,cloudy,2,0,development
plastic,2025-01-07 7:49:57,cloudy,2,0,development
glass,2025-01-07 19:12:29,cloudy,2,0,development
plastic,2025-01-07 0:09:30,cloudy,2,0,development
plastic,2025-01-08 18:16:32,cloudy,5,0,development
paper,2025-01-08 0:29:04,cloudy,5,0,development
organic,2025-01-08 8:32:10,cloudy,5,0,development
paper,2025-01-08 7:45:10,cloudy,5,0,development
metal,2025-01-08 10:24:47,cloudy,5,0,development
organic,2025-01-08 4:05:59,cloudy,5,0,development
plastic,2025-01-08 12:09:42,cloudy,5,0,development
plastic,2025-01-08 6:09:45,cloudy,5,0,development
glass,2025-01-08 3:43:00,cloudy,5,0,development
metal,2025-01-08 14:51:39,cloudy,5,0,development
paper,2025-01-08 9:29:19,cloudy,5,0,development
plastic,2025-01-08 4:25:13,cloudy,5,0,development
plastic,2025-01-08 13:18:18,cloudy,5,0,development
metal,2025-01-08 19:19:27,cloudy,5,0,development
metal,2025-01-08 11:31:59,cloudy,5,0,development
paper,2025-01-08 18:46:28,cloudy,5,0,development
plastic,2025-01-09 16:02:52,rainy,3,0,development
glass,2025-01-09 5:59:37,rainy,3,0,development
plastic,2025-01-09 7:03:06,rainy,3,0,development
paper,2025-01-10 11:31:38,stormy,3,0,development
metal,2025-01-11 12:11:30,misty,3,0,development
paper,2025-01-11 0:52:32,misty,3,0,development
plastic,2025-01-11 15:39:26,misty,3,0,development
organic,2025-01-11 20:34:39,misty,3,0,development
glass,2025-01-11 10:14:12,misty,3,0,development
organic,2025-01-11 16:24:08,misty,3,0,development
organic,2025-01-11 19:01:39,misty,3,0,development
plastic,2025-01-11 9:31:18,misty,3,0,development
plastic,2025-01-11 4:04:03,misty,3,0,development
plastic,2025-01-11 17:08:57,misty,3,0,development
organic,2025-01-11 22:35:35,misty,3,0,development
plastic,2025-01-11 1:30:12,misty,3,0,development
plastic,2025-01-12 11:13:24,cloudy,3,0,development
paper,2025-01-12 9:01:10,cloudy,3,0,development
plastic,2025-01-12 11:47:53,cloudy,3,0,development
plastic,2025-01-12 15:47:16,cloudy,3,0,development
plastic,2025-01-12 23:34:19,cloudy,3,0,development
paper,2025-01-12 3:24:24,cloudy,3,0,development
glass,2025-01-12 6:54:24,cloudy,3,0,development
metal,2025-01-12 17:01:21,cloudy,3,0,development
metal,2025-01-12 14:07:37,cloudy,3,0,development
paper,2025-01-12 15:56:45,cloudy,3,0,development
paper,2025-01-12 9:01:34,cloudy,3,0,development
plastic,2025-01-12 3:03:01,cloudy,3,0,development
metal,2025-01-12 2:23:48,cloudy,3,0,development
organic,2025-01-12 11:38:17,cloudy,3,0,development
paper,2025-01-12 9:16:21,cloudy,3,0,development
glass,2025-01-12 20:06:29,cloudy,3,0,development
glass,2025-01-12 9:07:03,cloudy,3,0,development
metal,2025-01-12 6:35:33,cloudy,3,0,development
metal,2025-01-12 5:43:23,cloudy,3,0,development
plastic,2025-01-12 14:03:31,cloudy,3,0,development
plastic,2025-01-12 4:10:58,cloudy,3,0,development
metal,2025-01-13 6:41:13,cloudy,2,0,development
plastic,2025-01-13 18:16:53,cloudy,2,0,development
organic,2025-01-13 2:11:37,cloudy,2,0,development
organic,2025-01-13 7:10:16,cloudy,2,0,development
plastic,2025-01-13 7:37:22,cloudy,2,0,development
glass,2025-01-13 5:25:38,cloudy,2,0,development
paper,2025-01-13 13:14:53,cloudy,2,0,development
organic,2025-01-13 6:17:30,cloudy,2,0,development
plastic,2025-01-13 4:03:37,cloudy,2,0,development
plastic,2025-01-13 19:34:33,cloudy,2,0,development
glass,2025-01-13 16:58:12,cloudy,2,0,development
plastic,2025-01-13 14:50:05,cloudy,2,0,development
organic,2025-01-13 1:51:53,cloudy,2,0,development
glass,2025-01-13 23:25:41,cloudy,2,0,development
paper,2025-01-13 21:59:20,cloudy,2,0,development
plastic,2025-01-13 7:00:09,cloudy,2,0,development
plastic,2025-01-14 17:14:11,cloudy,2,0,development
glass,2025-01-14 16:42:21,cloudy,2,0,development
paper,2025-01-14 23:36:48,cloudy,2,0,development
plastic,2025-01-14 20:09:27,cloudy,2,0,development
metal,2025-01-14 20:54:47,cloudy,2,0,development
plastic,2025-01-14 7:35:11,cloudy,2,0,development
organic,2025-01-14 16:30:26,cloudy,2,0,development
plastic,2025-01-14 23:27:58,cloudy,2,0,development
metal,2025-01-14 19:26:08,cloudy,2,0,development
plastic,2025-01-14 1:42:31,cloudy,2,0,development
plastic,2025-01-14 3:25:31,cloudy,2,0,development
plastic,2025-01-14 4:23:27,cloudy,2,0,development
plastic,2025-01-14 23:18:22,cloudy,2,0,development
plastic,2025-01-14 8:36:01,cloudy,2,0,development
metal,2025-01-14 1:37:35,cloudy,2,0,development
glass,2025-01-14 8:00:21,cloudy,2,0,development
plastic,2025-01-15 7:51:40,snowy,3,0,development
plastic,2025-01-16 4:44:08,snowy,5,0,development
plastic,2025-01-17 5:08:07,cloudy,4,0,development
glass,2025-01-17 18:09:33,cloudy,4,0,development
glass,2025-01-17 2:57:51,cloudy,4,0,development
glass,2025-01-17 14:28:25,cloudy,4,0,development
glass,2025-01-17 23:00:30,cloudy,4,0,development
paper,2025-01-17 13:58:23,cloudy,4,0,development
glass,2025-01-17 4:42:38,cloudy,4,0,development
paper,2025-01-17 10:50:40,cloudy,4,0,development
plastic,2025-01-17 1:48:09,cloudy,4,0,development
plastic,2025-01-17 6:44:30,cloudy,4,0,development
paper,2025-01-17 6:30:46,cloudy,4,0,development
organic,2025-01-17 12:37:43,cloudy,4,0,development
metal,2025-01-17 3:29:25,cloudy,4,0,development
organic,2025-01-17 6:56:42,cloudy,4,0,development
glass,2025-01-17 2:35:52,cloudy,4,0,development
plastic,2025-01-17 10:29:49,cloudy,4,0,development
organic,2025-01-18 10:01:35,snowy,4,0,development
plastic,2025-01-19 12:29:28,snowy,3,0,development
paper,2025-01-20 21:03:33,snowy,5,0,development
glass,2025-01-21 8:10:11,cloudy,6,0,development
organic,2025-01-21 13:29:59,cloudy,6,0,development
glass,2025-01-21 13:23:34,cloudy,6,0,development
plastic,2025-01-21 20:20:58,cloudy,6,0,development
organic,2025-01-21 22:56:51,cloudy,6,0,development
paper,2025-01-21 15:19:05,cloudy,6,0,development
paper,2025-01-21 15:18:15,cloudy,6,0,development
plastic,2025-01-21 19:31:16,cloudy,6,0,development
plastic,2025-01-21 2:10:10,cloudy,6,0,development
plastic,2025-01-21 7:06:58,cloudy,6,0,development
plastic,2025-01-21 1:16:04,cloudy,6,0,development
plastic,2025-01-21 17:41:48,cloudy,6,0,development
glass,2025-01-21 8:14:34,cloudy,6,0,development
paper,2025-01-21 15:02:17,cloudy,6,0,development
plastic,2025-01-21 3:43:58,cloudy,6,0,development
paper,2025-01-21 6:58:04,cloudy,6,0,development
organic,2025-01-21 17:26:35,cloudy,6,0,development
plastic,2025-01-21 17:01:48,cloudy,6,0,development
plastic,2025-01-21 7:40:46,cloudy,6,0,development
glass,2025-01-21 11:14:44,cloudy,6,0,development
organic,2025-01-21 21:27:54,cloudy,6,0,development
metal,2025-01-22 6:51:27,stormy,3,0,development
paper,2025-01-23 14:49:28,rainy,4,0,development
metal,2025-01-23 7:12:45,rainy,4,0,development
plastic,2025-01-23 9:23:08,rainy,4,0,development
organic,2025-01-24 6:15:56,cloudy,3,0,development
plastic,2025-01-24 16:38:40,cloudy,3,0,development
glass,2025-01-24 15:01:28,cloudy,3,0,development
paper,2025-01-24 12:00:02,cloudy,3,0,development
metal,2025-01-24 14:47:02,cloudy,3,0,development
plastic,2025-01-24 13:56:12,cloudy,3,0,development
glass,2025-01-24 14:56:45,cloudy,3,0,development
plastic,2025-01-24 11:55:17,cloudy,3,0,development
organic,2025-01-24 5:32:19,cloudy,3,0,development
plastic,2025-01-24 7:08:40,cloudy,3,0,development
plastic,2025-01-24 3:35:35,cloudy,3,0,development
glass,2025-01-24 14:13:45,cloudy,3,0,development
paper,2025-01-24 2:25:06,cloudy,3,0,development
plastic,2025-01-24 4:14:16,cloudy,3,0,development
metal,2025-01-24 21:13:39,cloudy,3,0,development
paper,2025-01-24 21:32:55,cloudy,3,0,development
glass,2025-01-25 12:03:11,misty,2,0,development
glass,2025-01-25 2:26:54,misty,2,0,development
organic,2025-01-25 6:03:25,misty,2,0,development
plastic,2025-01-25 12:42:23,misty,2,0,development
glass,2025-01-25 2:41:49,misty,2,0,development
plastic,2025-01-25 3:29:26,misty,2,0,development
glass,2025-01-25 12:41:02,misty,2,0,development
plastic,2025-01-25 9:44:04,misty,2,0,development
organic,2025-01-25 19:48:49,misty,2,0,development
glass,2025-01-25 17:11:24,misty,2,0,development
plastic,2025-01-25 19:11:38,misty,2,0,development
metal,2025-01-25 11:59:40,misty,2,0,development
plastic,2025-01-26 5:20:57,cloudy,4,0,development
plastic,2025-01-26 4:40:46,cloudy,4,0,development
metal,2025-01-26 5:46:15,cloudy,4,0,development
plastic,2025-01-26 0:43:57,cloudy,4,0,development
organic,2025-01-26 6:53:32,cloudy,4,0,development
glass,2025-01-26 21:59:42,cloudy,4,0,development
organic,2025-01-26 1:49:39,cloudy,4,0,development
glass,2025-01-26 12:33:31,cloudy,4,0,development
organic,2025-01-26 7:13:08,cloudy,4,0,development
plastic,2025-01-26 2:51:22,cloudy,4,0,development
paper,2025-01-26 12:06:51,cloudy,4,0,development
paper,2025-01-26 6:56:53,cloudy,4,0,development
glass,2025-01-26 23:50:55,cloudy,4,0,development
plastic,2025-01-26 5:35:35,cloudy,4,0,development
organic,2025-01-26 0:52:17,cloudy,4,0,development
glass,2025-01-26 14:22:02,cloudy,4,0,development
