id,type,timestamp,weather,temperature,isholiday,cameraid
1,plastic,1-1-2025 10:09,stormy,3,1,0
2,paper,1-1-2025 08:43,stormy,3,1,0
3,plastic,1-1-2025 05:45,stormy,3,1,0
4,paper,1-1-2025 01:33,stormy,3,1,0
5,plastic,1-1-2025 00:57,stormy,3,1,0
6,organic,1-1-2025 21:11,stormy,3,1,0
7,organic,1-1-2025 01:14,stormy,3,1,0
8,metal,2-1-2025 11:50,sunny,3,0,0
9,organic,2-1-2025 01:58,sunny,3,0,0
10,plastic,2-1-2025 12:40,sunny,3,0,0
11,organic,2-1-2025 19:13,sunny,3,0,0
12,paper,2-1-2025 10:56,sunny,3,0,0
13,plastic,2-1-2025 15:08,sunny,3,0,0
14,plastic,2-1-2025 09:11,sunny,3,0,0
15,glass,2-1-2025 18:53,sunny,3,0,0
16,organic,2-1-2025 00:52,sunny,3,0,0
17,plastic,2-1-2025 06:38,sunny,3,0,0
18,plastic,2-1-2025 03:19,sunny,3,0,0
19,plastic,2-1-2025 06:16,sunny,3,0,0
20,plastic,2-1-2025 21:44,sunny,3,0,0
21,plastic,2-1-2025 19:50,sunny,3,0,0
22,plastic,2-1-2025 06:16,sunny,3,0,0
23,paper,2-1-2025 19:27,sunny,3,0,0
24,paper,2-1-2025 09:23,sunny,3,0,0
25,plastic,2-1-2025 09:44,sunny,3,0,0
26,plastic,2-1-2025 09:11,sunny,3,0,0
27,plastic,3-1-2025 21:06,cloudy,1,0,0
28,plastic,3-1-2025 23:37,cloudy,1,0,0
29,plastic,3-1-2025 07:37,cloudy,1,0,0
30,organic,3-1-2025 19:41,cloudy,1,0,0
31,plastic,3-1-2025 05:56,cloudy,1,0,0
32,plastic,3-1-2025 14:10,cloudy,1,0,0
33,metal,3-1-2025 20:18,cloudy,1,0,0
34,paper,3-1-2025 19:55,cloudy,1,0,0
35,plastic,3-1-2025 17:19,cloudy,1,0,0
36,organic,3-1-2025 00:48,cloudy,1,0,0
37,paper,3-1-2025 19:28,cloudy,1,0,0
38,plastic,3-1-2025 22:28,cloudy,1,0,0
39,organic,3-1-2025 00:45,cloudy,1,0,0
40,paper,3-1-2025 21:40,cloudy,1,0,0
41,glass,3-1-2025 10:02,cloudy,1,0,0
42,organic,3-1-2025 20:24,cloudy,1,0,0
43,paper,4-1-2025 07:40,cloudy,4,0,0
44,metal,4-1-2025 20:12,cloudy,4,0,0
45,plastic,4-1-2025 20:30,cloudy,4,0,0
46,plastic,4-1-2025 04:14,cloudy,4,0,0
47,paper,4-1-2025 05:59,cloudy,4,0,0
48,plastic,4-1-2025 04:54,cloudy,4,0,0
49,paper,4-1-2025 20:43,cloudy,4,0,0
50,paper,4-1-2025 20:48,cloudy,4,0,0
51,organic,4-1-2025 02:32,cloudy,4,0,0
52,metal,4-1-2025 04:14,cloudy,4,0,0
53,metal,4-1-2025 13:46,cloudy,4,0,0
54,paper,4-1-2025 21:31,cloudy,4,0,0
55,metal,4-1-2025 09:27,cloudy,4,0,0
56,plastic,4-1-2025 07:29,cloudy,4,0,0
57,paper,4-1-2025 04:45,cloudy,4,0,0
58,plastic,4-1-2025 03:14,cloudy,4,0,0
59,paper,4-1-2025 23:07,cloudy,4,0,0
60,organic,4-1-2025 18:43,cloudy,4,0,0
61,plastic,4-1-2025 18:35,cloudy,4,0,0
62,paper,4-1-2025 21:55,cloudy,4,0,0
63,plastic,4-1-2025 09:44,cloudy,4,0,0
64,metal,5-1-2025 18:39,cloudy,0,0,0
65,metal,5-1-2025 06:54,cloudy,0,0,0
66,glass,5-1-2025 22:27,cloudy,0,0,0
67,paper,5-1-2025 18:17,cloudy,0,0,0
68,glass,5-1-2025 21:39,cloudy,0,0,0
69,paper,5-1-2025 16:18,cloudy,0,0,0
70,plastic,5-1-2025 21:23,cloudy,0,0,0
71,plastic,5-1-2025 01:08,cloudy,0,0,0
72,paper,5-1-2025 06:48,cloudy,0,0,0
73,plastic,5-1-2025 09:52,cloudy,0,0,0
74,glass,5-1-2025 12:11,cloudy,0,0,0
75,metal,5-1-2025 07:31,cloudy,0,0,0
76,paper,5-1-2025 23:41,cloudy,0,0,0
77,plastic,5-1-2025 11:01,cloudy,0,0,0
78,organic,5-1-2025 12:42,cloudy,0,0,0
79,plastic,5-1-2025 05:01,cloudy,0,0,0
80,organic,5-1-2025 04:27,cloudy,0,0,0
81,plastic,5-1-2025 00:36,cloudy,0,0,0
82,paper,5-1-2025 12:13,cloudy,0,0,0
83,glass,5-1-2025 15:13,cloudy,0,0,0
84,paper,5-1-2025 09:01,cloudy,0,0,0
85,paper,6-1-2025 01:01,cloudy,2,0,0
86,glass,6-1-2025 00:33,cloudy,2,0,0
87,glass,6-1-2025 03:57,cloudy,2,0,0
88,plastic,6-1-2025 05:50,cloudy,2,0,0
89,organic,6-1-2025 04:29,cloudy,2,0,0
90,paper,6-1-2025 16:53,cloudy,2,0,0
91,plastic,6-1-2025 09:52,cloudy,2,0,0
92,paper,6-1-2025 21:37,cloudy,2,0,0
93,organic,6-1-2025 08:51,cloudy,2,0,0
94,metal,6-1-2025 02:30,cloudy,2,0,0
95,organic,6-1-2025 04:26,cloudy,2,0,0
96,paper,6-1-2025 05:21,cloudy,2,0,0
97,paper,6-1-2025 18:16,cloudy,2,0,0
98,plastic,6-1-2025 00:20,cloudy,2,0,0
99,paper,6-1-2025 17:14,cloudy,2,0,0
100,plastic,6-1-2025 15:12,cloudy,2,0,0
101,plastic,7-1-2025 20:36,cloudy,2,0,0
102,plastic,7-1-2025 13:50,cloudy,2,0,0
103,plastic,7-1-2025 10:07,cloudy,2,0,0
104,metal,7-1-2025 23:09,cloudy,2,0,0
105,paper,7-1-2025 00:56,cloudy,2,0,0
106,plastic,7-1-2025 10:19,cloudy,2,0,0
107,organic,7-1-2025 05:58,cloudy,2,0,0
108,plastic,7-1-2025 04:57,cloudy,2,0,0
109,plastic,7-1-2025 07:03,cloudy,2,0,0
110,plastic,7-1-2025 05:22,cloudy,2,0,0
111,paper,7-1-2025 09:43,cloudy,2,0,0
112,glass,7-1-2025 16:12,cloudy,2,0,0
113,glass,7-1-2025 15:48,cloudy,2,0,0
114,plastic,7-1-2025 07:49,cloudy,2,0,0
115,glass,7-1-2025 19:12,cloudy,2,0,0
116,plastic,7-1-2025 00:09,cloudy,2,0,0
117,plastic,8-1-2025 18:16,cloudy,5,0,0
118,paper,8-1-2025 00:29,cloudy,5,0,0
119,organic,8-1-2025 08:32,cloudy,5,0,0
120,paper,8-1-2025 07:45,cloudy,5,0,0
121,metal,8-1-2025 10:24,cloudy,5,0,0
122,organic,8-1-2025 04:05,cloudy,5,0,0
123,plastic,8-1-2025 12:09,cloudy,5,0,0
124,plastic,8-1-2025 06:09,cloudy,5,0,0
125,glass,8-1-2025 03:43,cloudy,5,0,0
126,metal,8-1-2025 14:51,cloudy,5,0,0
127,paper,8-1-2025 09:29,cloudy,5,0,0
128,plastic,8-1-2025 04:25,cloudy,5,0,0
129,plastic,8-1-2025 13:18,cloudy,5,0,0
130,metal,8-1-2025 19:19,cloudy,5,0,0
131,metal,8-1-2025 11:31,cloudy,5,0,0
132,paper,8-1-2025 18:46,cloudy,5,0,0
133,plastic,9-1-2025 16:02,rainy,3,0,0
134,glass,9-1-2025 05:59,rainy,3,0,0
135,plastic,9-1-2025 07:03,rainy,3,0,0
136,paper,10-1-2025 11:31,stormy,3,0,0
137,metal,11-1-2025 12:11,misty,3,0,0
138,paper,11-1-2025 00:52,misty,3,0,0
139,plastic,11-1-2025 15:39,misty,3,0,0
140,organic,11-1-2025 20:34,misty,3,0,0
141,glass,11-1-2025 10:14,misty,3,0,0
142,organic,11-1-2025 16:24,misty,3,0,0
143,organic,11-1-2025 19:01,misty,3,0,0
144,plastic,11-1-2025 09:31,misty,3,0,0
145,plastic,11-1-2025 04:04,misty,3,0,0
146,plastic,11-1-2025 17:08,misty,3,0,0
147,organic,11-1-2025 22:35,misty,3,0,0
148,plastic,11-1-2025 01:30,misty,3,0,0
149,plastic,12-1-2025 11:13,cloudy,3,0,0
150,paper,12-1-2025 09:01,cloudy,3,0,0
151,plastic,12-1-2025 11:47,cloudy,3,0,0
152,plastic,12-1-2025 15:47,cloudy,3,0,0
153,plastic,12-1-2025 23:34,cloudy,3,0,0
154,paper,12-1-2025 03:24,cloudy,3,0,0
155,glass,12-1-2025 06:54,cloudy,3,0,0
156,metal,12-1-2025 17:01,cloudy,3,0,0
157,metal,12-1-2025 14:07,cloudy,3,0,0
158,paper,12-1-2025 15:56,cloudy,3,0,0
159,paper,12-1-2025 09:01,cloudy,3,0,0
160,plastic,12-1-2025 03:03,cloudy,3,0,0
161,metal,12-1-2025 02:23,cloudy,3,0,0
162,organic,12-1-2025 11:38,cloudy,3,0,0
163,paper,12-1-2025 09:16,cloudy,3,0,0
164,glass,12-1-2025 20:06,cloudy,3,0,0
165,glass,12-1-2025 09:07,cloudy,3,0,0
166,metal,12-1-2025 06:35,cloudy,3,0,0
167,metal,12-1-2025 05:43,cloudy,3,0,0
168,plastic,12-1-2025 14:03,cloudy,3,0,0
169,plastic,12-1-2025 04:10,cloudy,3,0,0
170,metal,13-1-2025 06:41,cloudy,2,0,0
171,plastic,13-1-2025 18:16,cloudy,2,0,0
172,organic,13-1-2025 02:11,cloudy,2,0,0
173,organic,13-1-2025 07:10,cloudy,2,0,0
174,plastic,13-1-2025 07:37,cloudy,2,0,0
175,glass,13-1-2025 05:25,cloudy,2,0,0
176,paper,13-1-2025 13:14,cloudy,2,0,0
177,organic,13-1-2025 06:17,cloudy,2,0,0
178,plastic,13-1-2025 04:03,cloudy,2,0,0
179,plastic,13-1-2025 19:34,cloudy,2,0,0
180,glass,13-1-2025 16:58,cloudy,2,0,0
181,plastic,13-1-2025 14:50,cloudy,2,0,0
182,organic,13-1-2025 01:51,cloudy,2,0,0
183,glass,13-1-2025 23:25,cloudy,2,0,0
184,paper,13-1-2025 21:59,cloudy,2,0,0
185,plastic,13-1-2025 07:00,cloudy,2,0,0
186,plastic,14-1-2025 17:14,cloudy,2,0,0
